stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1_5830,,QTA. CONCHAS (METRO),,38.766780853,-9.1574172974,,,0,,,0,
1_10917,,QTA. GRANJA,,38.754302979,-9.195602417,,,0,,,0,
1_10911,,QTA. GRANJA - AV. URUGUAI,,38.752864838,-9.1968135834,,,0,,,0,
1_10912,,QTA. GRANJA - AV. URUGUAI,,38.753223419,-9.196346283,,,0,,,0,
1_12808,,QTA. INGLESINHOS,,38.763168335,-9.1805830002,,,0,,,0,
1_12834,,QTA. INGLESINHOS,,38.763309479,-9.1806097031,,,0,,,0,
1_9416,,QTA. JACINTO,,38.708118439,-9.1740198135,,,0,,,0,
1_7209,,QTA. LAVADEIRAS,,38.783779144,-9.1640634537,,,0,,,0,
1_7206,,QTA. LAVADEIRAS,,38.784332275,-9.1662082672,,,0,,,0,
1_8920,,QTA. LAVRADO,,38.734348297,-9.1251344681,,,0,,,0,
1_12801,,QTA. LUZ,,38.757274628,-9.1854114532,,,0,,,0,
1_12802,,QTA. LUZ,,38.757171631,-9.1856842041,,,0,,,0,
1_7215,,QTA. MOLEIRINHA,,38.784416199,-9.1610660553,,,0,,,0,
1_7216,,QTA. MOLEIRINHA,,38.784324646,-9.1613235474,,,0,,,0,
1_14109,,QTA. OLIVAL (C. TRIAGEM),,38.777042389,-9.174498558,,,0,,,0,
1_14117,,QTA. OLIVAL (C. TRIAGEM),,38.776943207,-9.1748380661,,,0,,,0,
1_83118,,QTA. OURIVES,,38.735340118,-9.1154441833,,,0,,,0,
1_6003,,QTA. PAILEPA,,38.787849426,-9.1459827423,,,0,,,0,
1_6010,,QTA. PAILEPA,,38.787883759,-9.1461668015,,,0,,,0,
1_9821,,QTA. PEIXINHOS,,38.723522186,-9.1217069626,,,0,,,0,
1_8003,,R. 4 INFANTARIA,,38.718269348,-9.1647844315,,,0,,,0,
1_8006,,R. 4 INFANTARIA,,38.720233917,-9.1654472351,,,0,,,0,
1_14701,,R. ADÃES BERMUDES,,38.75642395,-9.1206407547,,,0,,,0,
1_14702,,R. ADÃES BERMUDES,,38.756206512,-9.120716095,,,0,,,0,
1_12110,,R. ALCÂNTARA,,38.706207275,-9.1755571365,,,0,,,0,
1_1625,,R. ALCINA BASTOS,,38.741260529,-9.1759672165,,,0,,,0,
1_5909,,R. ALEXANDRE FERREIRA,,38.776382446,-9.1627454758,,,0,,,0,
1_12008,,R. ALIANÇA OPERÁRIA,,38.704410553,-9.1895933151,,,0,,,0,
1_11107,,R. ALVES REDOL,,38.737491608,-9.1406316757,,,0,,,0,
1_9427,,R. ALVITO,,38.707500458,-9.1751852036,,,0,,,0,
1_8516,,R. AMOREIRAS,,38.723342896,-9.1594142914,,,0,,,0,
